Id,sampling_rate,gender,ethnicity,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,path
0,22050,male,spanish,1056.9174,3945.161,145.3875,0.0220817325055027,0.1710764246757973,0.0031358134584532,0.0329631073771109,1549.6070500600424,[80.74951172],-116.66233765744694,69,281,2,38.19850340136055,audios_evaluation/1.wav
1,22050,male,xiang,1231.8457,3999.172,145.56432,0.0265708000746378,0.1325853935543565,0.0067832980414301,0.1238946052751457,2344.817369187901,[89.10290948],-78.25382429532267,69,281,27,29.605442176870746,audios_evaluation/2.wav
2,22050,male,igbo,958.29065,3445.449,145.67374,0.0180435860602581,0.0962894382497858,0.0044783296168206,0.0891488882211538,1939.5748962818748,[123.046875],-71.63074211960677,6,22,2,2.275555555555556,audios_evaluation/3.wav
3,22050,female,spanish,1396.5417,3998.8948,145.41223,0.0272900771655568,0.0889012450057843,0.0148927387971445,0.0970539411374451,1832.059112513784,[123.046875],-101.53301292023268,69,281,31,22.15183673469388,audios_evaluation/4.wav
4,22050,male,spanish,1633.8677,3999.7632,145.36313,0.0216210987189453,0.1038554564664848,0.0013692209986504,0.1409501774569268,2534.6111683881727,[112.34714674],-134.91406976567893,69,281,35,22.430476190476192,audios_evaluation/5.wav
5,22050,female,ikwerre,1043.3937,3974.3835,152.72447,0.0257779461606412,0.1088057388002498,0.0009765670938729,0.0559910765481651,1740.7018552512943,[135.99917763],-85.45554636535665,2,10,1,2.523174603174603,audios_evaluation/6.wav
6,22050,female,spanish,1685.1119,3999.5852,145.6659,0.0213560288883015,0.0894084068437476,0.0050746167726343,0.1507531888455623,2503.981083328545,[151.99908088],-111.679084056145,69,281,28,19.458321995464846,audios_evaluation/7.wav
7,22050,female,igbo,1383.9468,3973.5286,148.644,0.0152068041454336,0.0735485934567048,0.0082747630111045,0.0721558988764045,2112.056001712507,[123.046875],-46.0849376354986,6,15,2,1.9708390022675737,audios_evaluation/8.wav
8,22050,male,spanish,1465.3152,3999.6648,145.39381,0.020371015867976,0.0890011473761586,0.0073721896690449,0.1582276965725806,2497.038193834084,[143.5546875],-114.97704920651684,69,281,46,23.916553287981856,audios_evaluation/9.wav
9,22050,male,igbo,692.27057,3960.8286,145.45409,0.0179422214875933,0.1284668636181762,0.0009377938125513,0.0642274100825471,2225.098897075537,[135.99917763],-25.985415379519026,0,0,1,2.439002267573696,audios_evaluation/10.wav
