Id,sampling_rate,age,gender,ethnicity,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,path
0,22050,24.0,female,arabic,1821.6906,3999.717,145.43066,0.01379450548252,0.0827253733083098,0.0022538047574122,0.2100933418072089,3112.257251154368,[151.99908088],-123.9997262692494,69,281,39,23.84689342403628,audios_development/1.wav
1,22050,22.5,female,hungarian,1297.8187,3998.859,145.37268,0.0253485121269184,0.0962424747690059,0.0078186389297897,0.0788494053171641,1688.0163887765325,[129.19921875],-86.92847782058215,69,281,21,19.38866213151928,audios_development/2.wav
2,22050,22.0,female,portuguese,1332.8524,3998.8025,145.42395,0.0190674156460441,0.1194560931686425,0.0029742818449428,0.1053652385572805,2576.9017059374173,[117.45383523],-98.45066996496276,69,281,1,21.640997732426303,audios_development/3.wav
3,22050,22.0,female,english,1430.3499,3998.451,147.98083,0.0170036758305884,0.1023892640286828,0.0223705533960699,0.1737011416408668,3269.751413282665,[117.45383523],-56.45976166487887,69,281,9,19.644126984126984,audios_development/4.wav
4,22050,22.0,male,dutch,1688.7234,3998.6113,145.44772,0.0280274095640635,0.1248313100805887,0.0053686253221205,0.1072794843560145,1930.897374687883,[112.34714674],-80.34920393012352,69,281,11,18.041904761904764,audios_development/5.wav
5,22050,33.0,female,italian,1258.5216,3998.8406,145.61612,0.0256415261226269,0.093994300572409,0.0140009085606509,0.1520361879615551,2350.7475765614263,[123.046875],-93.4532295026751,69,281,21,19.59764172335601,audios_development/6.wav
6,22050,18.0,male,french,1789.0259,3999.5728,145.42523,0.022058885075647,0.1383218670584982,0.0014021478408719,0.1777127475511073,2771.7932365410047,[92.28515625],-132.86498787401757,69,281,29,21.84997732426304,audios_development/7.wav
7,22050,18.0,female,igbo,1042.9526,3989.9595,147.1871,0.0138589184851399,0.1045785712702697,0.0009078290233821,0.1118577860169491,2701.802810870444,[215.33203125],5.586936546106252,4,16,1,1.367936507936508,audios_development/8.wav
8,22050,18.0,female,igbo,779.33765,2927.2144,157.62047,0.0139207831299991,0.0808476819111308,0.0003237747346111,0.0390965661337209,1448.0934794323591,[143.5546875],-43.823949872833865,0,0,1,1.9896598639455785,audios_development/9.wav
9,22050,18.0,male,igbo,732.35297,3988.0715,147.95331,0.0177351607112758,0.1143797940086329,0.0074251771082471,0.0731658935546875,1722.6242470362458,[86.1328125],-47.04454034436717,5,22,1,1.4379138321995464,audios_development/10.wav
10,22050,28.0,male,hebrew,1111.2589,3999.2314,145.74281,0.0215924437193089,0.1021271188123881,0.0059617519037781,0.0805571212597874,1822.9274436836863,[123.046875],-84.30408728079898,69,281,13,17.554285714285715,audios_development/11.wav
11,22050,20.0,male,farsi,1331.6096,3998.814,145.37558,0.0156853915338826,0.1041882113399699,0.0047872529751417,0.1410549558998414,2297.9556488862286,[117.45383523],-86.25695812062388,69,281,13,17.99546485260771,audios_development/12.wav
12,22050,32.0,female,german,1683.1677,3999.7866,145.37051,0.0220877248594145,0.1084095086763988,0.0053801783277857,0.1490093093230694,2183.1706987430566,[117.45383523],-103.783291110789,69,281,26,17.925804988662133,audios_development/13.wav
13,22050,20.0,female,igbo,1470.7318,3994.0364,147.56389,0.012966213118536,0.0649881783070026,0.0022564403469537,0.0765279134114583,2186.139029569056,[92.28515625],-16.998422875407158,4,12,1,1.0933786848072562,audios_development/14.wav
14,22050,20.0,male,igbo,821.28864,3533.229,150.64523,0.0169530053587486,0.1078442836699352,0.0035887246637628,0.0433054956896551,1833.2825721573647,[107.66601562],-60.09118121731378,0,0,1,0.6683446712018141,audios_development/15.wav
15,22050,44.0,male,nama,1291.2698,3999.6443,145.42297,0.0355137462250735,0.1604323164553452,0.002757798909399,0.1185826878089689,1966.9968189375447,[89.10290948],-108.80944045199342,69,281,1,31.997097505668933,audios_development/16.wav
16,22050,32.0,female,english,1172.0302,3999.3564,145.37305,0.0216641298266336,0.1080397140119346,0.001804695959979,0.1394698483747357,2719.5969260070506,[129.19921875],-120.02461662819242,69,281,10,15.232290249433106,audios_development/17.wav
17,22050,19.0,male,igbo,1659.2017,3982.6162,146.94263,0.0175578737739974,0.2386370988316345,0.0001156301169289,0.1035991467927631,3576.4101086873447,[80.74951172],-15.770098874000617,3,12,1,1.7635374149659864,audios_development/18.wav
18,22050,22.0,female,english,1695.0831,3999.4983,145.42874,0.0255015906609085,0.1634446095921183,0.0022345246714666,0.1262749565972222,2530.73608451984,[129.19921875],-92.59384030392374,69,281,1,25.899092970521544,audios_development/19.wav
19,22050,19.0,female,igbo,680.2029,3241.5488,149.73259,0.0183878929125222,0.106508351976209,0.002761397005551,0.0510406494140625,1971.77378865396,[151.99908088],-31.717309213316582,1,6,1,2.2141043083900227,audios_development/20.wav
20,22050,24.0,male,igbo,889.95404,3952.5393,148.24489,0.0277029034378587,0.1443782538304926,0.001579887253596,0.0672957920792079,2673.59798730948,[184.5703125],-125.1196419342648,5,22,1,2.275555555555556,audios_development/21.wav
21,22050,18.0,male,belarusan,1266.5797,3999.6902,145.56848,0.0291336815503729,0.1369158791302976,0.0032255066794727,0.209017974335344,3054.039061309191,[99.38401442],-94.72334607897598,69,281,17,21.571337868480725,audios_development/22.wav
